N1_60,FCI,sigma_v_eff_kpa,CSR7.5,T,Source,CRR_target
5.0,97.0,35.1,0.48267629629629627,0,Hanna2007,1.4376461385947816
7.0,99.0,39.9,0.4862886215538848,1,Hanna2007,1.38340488458165
3.0,75.0,20.0,0.25532,0,Hanna2007,0.2194527645023549
15.0,15.0,35.1,0.28580222222222224,1,Hanna2007,0.10789949056570805
3.0,98.0,41.3,0.3252549636803874,0,Hanna2007,1.4292397968481834
3.0,100.0,47.4,0.352769535864979,0,Hanna2007,1.4240001913593197
5.0,99.0,57.0,0.37528126315789473,0,Hanna2007,1.3865342854571632
14.0,80.0,64.2,0.3851725856697819,1,Hanna2007,0.22619053183949697
8.0,99.0,70.8,0.39307189265536724,1,Hanna2007,1.282847808342453
9.0,99.0,77.4,0.398446976744186,0,Hanna2007,1.2288068552510043
7.0,98.0,86.8,0.40404389400921664,1,Hanna2007,1.2798443813720572
9.0,9.0,99.9,0.40266829829829826,1,Hanna2007,0.18273250496789206
7.0,98.0,109.2,0.40159523809523806,0,Hanna2007,1.238408615937729
7.0,72.0,15.0,0.2561,0,Hanna2007,0.21891457576009302
5.0,68.0,29.0,0.2669375172413793,1,Hanna2007,0.10880189146811602
6.0,92.0,36.0,0.3164893333333333,1,Hanna2007,1.3730294582819522
3.0,97.0,44.4,0.354536936936937,0,Hanna2007,1.411194911564511
12.0,85.0,52.6,0.3742764258555133,1,Hanna2007,0.21809014661366552
18.0,51.0,61.3,0.3855002610114193,1,Hanna2007,0.3503394514355413
16.0,72.0,68.2,0.39349436950146627,1,Hanna2007,0.2689605869747199
14.0,42.0,76.0,0.3968147368421053,1,Hanna2007,0.29117299269182345
13.0,74.0,85.3,0.3993941383352873,1,Hanna2007,0.2153531315935161
11.0,100.0,93.8,0.4013673773987207,0,Hanna2007,1.0949048805975603
10.0,96.0,102.6,0.40107407407407414,0,Hanna2007,1.1045422067846808
27.0,90.0,121.4,0.3951400329489292,0,Hanna2007,1.3667663896454827
4.0,97.0,15.8,0.408570253164557,0,Hanna2007,1.5581146417041853
9.0,69.0,22.9,0.4439613537117904,1,Hanna2007,0.1748822316549218
5.0,95.0,29.6,0.4623186486486487,1,Hanna2007,1.453772510525977
5.0,97.0,37.3,0.47110884718498675,0,Hanna2007,1.4259558484263781
13.0,84.0,44.9,0.47020044543429845,0,Hanna2007,0.2409836061267542
10.0,90.0,51.8,0.47080277992277997,1,Hanna2007,0.25844622599920414
12.0,67.0,65.3,0.4629055130168454,1,Hanna2007,0.13182405521327112
