Location,"Lat,Long",Borehole ,Depth(ft),Depth-Z(m),GWT(m),N-06,N-12,N-18,N -Value,σv,σv',CE,CB,CS,CR,CN,(N1)60,Soil Type ,Soil USCS,FC,FCI,rd,CSR7.5,CRR,Rp,a(max),g,Mw,MSF,SL,γ,γw
"Salim Uddin, Baypass Road, 02.04.2022(03)",,2,35.0,10.668,1.5,12.0,24.0,30.0,54.0,192.02400000000003,102.08592000000002,0.6,1.0,1.0,0.95,0.989730779407201,30.46391339015365,,,,,0.83998,0.3697212971943633,1.046388593388547,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,2,40.0,12.192,1.5,16.0,27.0,32.0,59.0,219.456,114.56748,0.6,1.0,1.0,0.95,0.9342633658704876,31.419276994224496,,,,,0.8171200000000001,0.3662585708656592,1.0795718197413722,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,2,45.0,13.716,1.5,26.0,36.0,40.0,76.0,246.88800000000003,127.04904000000002,0.6,1.0,1.0,0.95,0.8871852363264341,38.43286443766112,,,,,0.79426,0.3611662356041414,1.330126728083213,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,2,50.0,15.24,1.5,30.0,38.0,50.0,88.0,274.32,139.5306,0.6,1.0,1.0,0.95,0.8465746683009155,42.46418536197392,,,,,0.7714,0.3548816161616161,1.4800731898094002,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Md. Shafiqul Islam Bhuya, Daspara, 30.07.2022(04)",,1,5.0,1.524,1.5,1.0,1.0,1.0,2.0,27.432,27.19656,0.6,1.0,1.0,0.8,1.7,1.632,,,,,0.97714,0.230630184417441,0.12829959098368,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Md. Shafiqul Islam Bhuya, Daspara, 30.07.2022(04)",,1,10.0,3.048,1.5,11.0,13.0,14.0,27.0,54.864,39.67812000000001,0.6,1.0,1.0,0.8,1.5875391959832383,20.57450797994277,,,,,0.95428,0.3087649967609352,0.7148069668281636,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Md. Shafiqul Islam Bhuya, Daspara, 30.07.2022(04)",,1,15.0,4.572,1.5,17.0,23.0,27.0,50.0,82.29599999999999,52.15968,0.6,1.0,1.0,0.8,1.3846261863803828,33.231028473129186,,,,,0.93142,0.3438786594334934,1.1431043680463,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Md. Shafiqul Islam Bhuya, Daspara, 30.07.2022(04)",,1,20.0,6.096,1.5,1.0,1.0,1.0,2.0,109.728,64.64124000000001,0.6,1.0,1.0,0.95,1.2437845579554363,1.4179143960691971,,,,,0.90856,0.3608919997995087,0.1219477917140401,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Md. Shafiqul Islam Bhuya, Daspara, 30.07.2022(04)",,1,25.0,7.62,1.5,2.0,2.0,3.0,5.0,137.16,77.12279999999998,0.6,1.0,1.0,0.95,1.1386981254861857,3.2452896576356287,,,,,0.8857,0.368593090603557,0.1763261378653764,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Md. Shafiqul Islam Bhuya, Daspara, 30.07.2022(04)",,1,30.0,9.144,1.5,8.0,15.0,18.0,33.0,164.592,89.60436000000001,0.6,1.0,1.0,0.95,1.0564171157176023,19.8712059466481,,,,,0.86284,0.370873418877385,0.6919897735890878,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Md. Shafiqul Islam Bhuya, Daspara, 30.07.2022(04)",,1,35.0,10.668,1.5,22.0,25.0,30.0,55.0,192.02400000000003,102.08592000000002,0.6,1.0,1.0,0.95,0.989730779407201,31.02805993441575,,,,,0.83998,0.3697212971943633,1.0659572144421308,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Md. Shafiqul Islam Bhuya, Daspara, 30.07.2022(04)",,1,40.0,12.192,1.5,24.0,27.0,32.0,59.0,219.456,114.56748,0.6,1.0,1.0,0.95,0.9342633658704876,31.419276994224496,,,,,0.8171200000000001,0.3662585708656592,1.0795718197413722,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Md. Shafiqul Islam Bhuya, Daspara, 30.07.2022(04)",,1,45.0,13.716,1.5,27.0,30.0,34.0,64.0,246.88800000000003,127.04904000000002,0.6,1.0,1.0,0.95,0.8871852363264341,32.36451742118831,,,,,0.79426,0.3611662356041414,1.1126186792048816,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Md. Shafiqul Islam Bhuya, Daspara, 30.07.2022(04)",,4,5.0,1.524,1.5,1.0,1.0,1.0,2.0,27.432,27.19656,0.6,1.0,1.0,0.8,1.7,1.632,,,,,0.97714,0.230630184417441,0.12829959098368,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Md. Shafiqul Islam Bhuya, Daspara, 30.07.2022(04)",,4,10.0,3.048,1.5,2.0,3.0,4.0,7.0,54.864,39.67812000000001,0.6,1.0,1.0,0.8,1.5875391959832383,5.334131698503682,,,,,0.95428,0.3087649967609352,0.2389547112312514,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Md. Shafiqul Islam Bhuya, Daspara, 30.07.2022(04)",,4,15.0,4.572,1.5,8.0,13.0,15.0,28.0,82.29599999999999,52.15968,0.6,1.0,1.0,0.8,1.3846261863803828,18.609375944952347,,,,,0.93142,0.3438786594334934,0.6512847397244039,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Md. Shafiqul Islam Bhuya, Daspara, 30.07.2022(04)",,4,20.0,6.096,1.5,2.0,2.0,2.0,4.0,109.728,64.64124000000001,0.6,1.0,1.0,0.95,1.2437845579554363,2.8358287921383947,,,,,0.90856,0.3608919997995087,0.1641093012861408,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Md. Shafiqul Islam Bhuya, Daspara, 30.07.2022(04)",,4,25.0,7.62,1.5,2.0,3.0,4.0,7.0,137.16,77.12279999999998,0.6,1.0,1.0,0.95,1.1386981254861857,4.5434055206898805,,,,,0.8857,0.368593090603557,0.2151855135256778,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Md. Shafiqul Islam Bhuya, Daspara, 30.07.2022(04)",,4,30.0,9.144,1.5,21.0,24.0,26.0,50.0,164.592,89.60436000000001,0.6,1.0,1.0,0.95,1.0564171157176023,30.107887797951665,,,,,0.86284,0.370873418877385,1.034077698378206,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Md. Shafiqul Islam Bhuya, Daspara, 30.07.2022(04)",,4,35.0,10.668,1.5,24.0,27.0,30.0,57.0,192.02400000000003,102.08592000000002,0.6,1.0,1.0,0.95,0.989730779407201,32.15635302293995,,,,,0.83998,0.3697212971943633,1.1053224000142206,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Md. Shafiqul Islam Bhuya, Daspara, 30.07.2022(04)",,4,40.0,12.192,1.5,27.0,30.0,32.0,62.0,219.456,114.56748,0.6,1.0,1.0,0.95,0.9342633658704876,33.01686734986303,,,,,0.8171200000000001,0.3662585708656592,1.1355525368885155,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Md. Shafiqul Islam Bhuya, Daspara, 30.07.2022(04)",,3,5.0,1.524,1.5,1.0,1.0,2.0,3.0,27.432,27.19656,0.6,1.0,1.0,0.8,1.7,2.448,,,,,0.97714,0.230630184417441,0.15255530196992,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Md. Shafiqul Islam Bhuya, Daspara, 30.07.2022(04)",,3,10.0,3.048,1.5,5.0,6.0,8.0,14.0,54.864,39.67812000000001,0.6,1.0,1.0,0.8,1.5875391959832383,10.668263397007363,,,,,0.95428,0.3087649967609352,0.4014292600760392,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Md. Shafiqul Islam Bhuya, Daspara, 30.07.2022(04)",,3,15.0,4.572,1.5,8.0,12.0,18.0,30.0,82.29599999999999,52.15968,0.6,1.0,1.0,0.8,1.3846261863803828,19.938617083877517,,,,,0.93142,0.3438786594334934,0.6941727291240014,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Md. Shafiqul Islam Bhuya, Daspara, 30.07.2022(04)",,3,20.0,6.096,1.5,17.0,23.0,28.0,51.0,109.728,64.64124000000001,0.6,1.0,1.0,0.95,1.2437845579554363,36.15681709976453,,,,,0.90856,0.3608919997995087,1.2474308533332903,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Md. Shafiqul Islam Bhuya, Daspara, 30.07.2022(04)",,3,25.0,7.62,1.5,2.0,2.0,4.0,6.0,137.16,77.12279999999998,0.6,1.0,1.0,0.95,1.1386981254861857,3.8943475891627535,,,,,0.8857,0.368593090603557,0.19573111611683,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Md. Shafiqul Islam Bhuya, Daspara, 30.07.2022(04)",,3,30.0,9.144,1.5,3.0,6.0,7.0,13.0,164.592,89.60436000000001,0.6,1.0,1.0,0.95,1.0564171157176023,7.828050827467432,,,,,0.86284,0.370873418877385,0.3144388392407149,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Md. Shafiqul Islam Bhuya, Daspara, 30.07.2022(04)",,3,35.0,10.668,1.5,24.0,27.0,28.0,55.0,192.02400000000003,102.08592000000002,0.6,1.0,1.0,0.95,0.989730779407201,31.02805993441575,,,,,0.83998,0.3697212971943633,1.0659572144421308,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Md. Shafiqul Islam Bhuya, Daspara, 30.07.2022(04)",,3,40.0,12.192,1.5,26.0,28.0,32.0,60.0,219.456,114.56748,0.6,1.0,1.0,0.95,0.9342633658704876,31.951807112770677,,,,,0.8171200000000001,0.3662585708656592,1.0981632044052425,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Md. Shafiqul Islam Bhuya, Daspara, 30.07.2022(04)",,3,45.0,13.716,1.5,35.0,47.0,50.0,97.0,246.88800000000003,127.04904000000002,0.6,1.0,1.0,0.95,0.8871852363264341,49.05247171648853,,,,,0.79426,0.3611662356041414,1.735359925688358,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Md. Shafiqul Islam Bhuya, Daspara, 30.07.2022(04)",,2,5.0,1.524,1.5,1.0,1.0,1.0,2.0,27.432,27.19656,0.6,1.0,1.0,0.8,1.7,1.632,,,,,0.97714,0.230630184417441,0.12829959098368,,3.5316,9.81,7.5,1.0,,18.0,9.81
